sell_date,buy_date,etf_code,etf_name,theme,style,shares,sell_price,cost,proceeds,pnl,pnl_pct,holding_days,exit_type
2023-03-13,2023-01-09,512000.SH,券商ETF,证券,cyclical_value,95201.47222698489,0.863,82088.28816037887,82134.22287072838,45.93471034950926,0.0005595769065102801,63,take_profit
2023-03-27,2023-03-13,510880.SH,红利ETF,红利,stable_value,50317.60746855611,2.873,146468.16500481832,144519.11751128457,-1949.0474935337552,-0.013306970108280103,14,stop_loss_or_rebalance
2023-03-27,2023-03-13,515210.SH,钢铁ETF,钢铁,cyclical_value,55607.824749609616,1.319,77707.43641455719,73324.71682848167,-4382.719586075516,-0.05640025959284493,14,stop_loss_or_rebalance
2023-04-10,2023-03-13,159819.SZ,人工智能ETF,人工智能,growth,234553.53615701888,0.964,194268.59103639302,226041.7759727096,31773.184936316597,0.16355286650719783,28,take_profit
2023-04-10,2023-03-27,159819.SZ,人工智能ETF,人工智能,growth,161061.81744355624,0.964,150799.0872855068,155217.01293798353,4417.925652476726,0.02929676652559773,14,take_profit
2023-04-24,2023-04-10,512480.SH,半导体ETF,半导体,growth,181336.60287106055,0.993,192637.24609074104,180013.22647696783,-12624.019613773213,-0.06553260010697369,14,stop_loss_or_rebalance
2023-05-08,2023-04-10,512480.SH,半导体ETF,半导体,growth,198320.7969980499,0.924,210679.87141785253,183193.44190127027,-27486.429516582255,-0.130465380159963,28,stop_loss_or_rebalance
2023-05-08,2023-03-13,510880.SH,红利ETF,红利,stable_value,57563.84377313972,3.249,167561.03861545058,186968.8209404053,19407.782324954722,0.11582514936240766,56,take_profit
2023-05-22,2023-05-08,512000.SH,券商ETF,证券,cyclical_value,130638.9194225261,0.887,121791.99954366488,115841.95851132231,-5950.04103234256,-0.04885412058785808,14,stop_loss_or_rebalance
2023-07-31,2023-03-13,510880.SH,红利ETF,红利,stable_value,38944.226237213275,3.106,113361.69665979574,120924.47846277659,7562.781802980855,0.06671373158499164,140,take_profit
2023-07-31,2023-04-24,510880.SH,红利ETF,红利,stable_value,2173.372724117544,3.106,6493.811886237185,6748.470532404759,254.65864616757426,0.039215587181897146,98,take_profit
