trade_date,equity,cash,holding_value
2021-05-18,1014724.6966946287,98759.26336457339,915965.4333300553
2021-05-19,1007066.524892186,98759.26336457339,908307.2615276127
2021-05-20,992825.3504790576,98759.26336457339,894066.0871144843
2021-05-21,992265.5544789317,98759.26336457339,893506.2911143583
2021-05-24,989033.4942982314,98759.26336457339,890274.2309336581
2021-05-25,1002384.0201195678,98759.26336457339,903624.7567549944
2021-05-26,1005627.9225575421,98759.26336457339,906868.6591929687
2021-05-27,1010672.8313090649,98759.26336457339,911913.5679444915
2021-05-28,1004395.3881330313,98759.26336457339,905636.124768458
2021-05-31,1008635.8958252327,209148.37212003444,799487.5237051983
2021-06-01,1017641.2146360787,209148.37212003444,808492.8425160443
2021-06-02,1007819.6363436044,209148.37212003444,798671.26422357
2021-06-03,1011181.616927682,209148.37212003444,802033.2448076475
2021-06-04,1009137.0730322218,209148.37212003444,799988.7009121873
2021-06-07,1007536.283395921,209148.37212003444,798387.9112758866
2021-06-08,1001978.059253459,209148.37212003444,792829.6871334246
2021-06-09,1007231.7839712608,209148.37212003444,798083.4118512264
2021-06-10,1015633.8488534295,209148.37212003444,806485.4767333951
2021-06-11,1016531.6542481962,209148.37212003444,807383.2821281618
2021-06-15,1004386.33736578,150621.13675262578,853765.2006131542
2021-06-16,994330.2043716685,150621.13675262578,843709.0676190427
2021-06-17,994695.7134114844,150621.13675262578,844074.5766588586
2021-06-18,995845.6841842538,150621.13675262578,845224.547431628
2021-06-21,993528.6184772603,150621.13675262578,842907.4817246345
2021-06-22,1005574.4287047558,150621.13675262578,854953.29195213
2021-06-23,1014102.2228200574,150621.13675262578,863481.0860674316
2021-06-24,1012589.2951249159,150621.13675262578,861968.1583722901
2021-06-25,1016367.8157315593,150621.13675262578,865746.6789789335
2021-06-28,821361.6798801909,268310.563691338,553051.1161888528
2021-06-29,817000.3297567233,268310.563691338,548689.7660653853
2021-06-30,823246.6189246688,268310.563691338,554936.0552333307
2021-07-01,819322.1446379097,268310.563691338,551011.5809465718
2021-07-02,815456.8248471359,268310.563691338,547146.261155798
2021-07-05,822796.4577766336,268310.563691338,554485.8940852955
2021-07-06,823713.1364836879,268310.563691338,555402.5727923498
2021-07-07,831144.1329602548,268310.563691338,562833.5692689167
2021-07-08,823905.2006029116,268310.563691338,555594.6369115736
2021-07-09,831011.2705473632,268310.563691338,562700.7068560252
2021-07-12,840817.9524460844,210171.90231220075,630646.0501338836
2021-07-13,847199.5544141749,210171.90231220075,637027.6521019741
2021-07-14,848555.0799629719,210171.90231220075,638383.1776507711
2021-07-15,855196.9723409897,210171.90231220075,645025.070028789
2021-07-16,858754.8284120846,210171.90231220075,648582.9260998839
2021-07-19,857062.132520517,210171.90231220075,646890.2302083162
2021-07-20,853399.3398831692,210171.90231220075,643227.4375709684
2021-07-21,852275.1340554553,210171.90231220075,642103.2317432546
2021-07-22,857905.5154051612,210171.90231220075,647733.6130929604
2021-07-23,856639.6440892011,210171.90231220075,646467.7417770004
2021-07-26,845931.1750647924,210171.90231220075,635759.2727525916
2021-07-27,832319.5721771225,210171.90231220075,622147.6698649217
2021-07-28,826375.0610512106,210171.90231220075,616203.1587390099
2021-07-29,831645.2314915811,210171.90231220075,621473.3291793803
2021-07-30,839372.0927418972,210171.90231220075,629200.1904296965
2021-08-02,833073.3008289295,210171.90231220075,622901.3985167288
2021-08-03,823653.7436870456,210171.90231220075,613481.8413748449
2021-08-04,830425.4413087508,210171.90231220075,620253.53899655
2021-08-05,828243.6433195951,210171.90231220075,618071.7410073944
2021-08-06,832784.0397301578,210171.90231220075,622612.1374179571
2021-08-09,840913.7262819227,793386.7971441727,47526.929137749954
2021-08-10,841204.8154915636,793386.7971441727,47818.018347390964
2021-08-11,843665.8424458012,793386.7971441727,50279.04530162857
2021-08-12,844274.4835205053,793386.7971441727,50887.686376332495
2021-08-13,844777.2739735215,793386.7971441727,51390.47682934878
2021-08-16,844803.7366289434,793386.7971441727,51416.93948477069
2021-08-17,843321.8279253164,793386.7971441727,49935.030781143745
2021-08-18,843374.7532361603,793386.7971441727,49987.956091987566
2021-08-19,842501.4856072372,793386.7971441727,49114.68846306454
2021-08-20,841945.7698433772,793386.7971441727,48558.97269920444
2021-08-23,843700.3825692871,202672.56972603442,641027.8128432527
2021-08-24,849153.4340591866,202672.56972603442,646480.8643331522
2021-08-25,858049.5628389637,202672.56972603442,655376.9931129293
2021-08-26,868268.2305838146,202672.56972603442,665595.6608577801
2021-08-27,874265.2325523779,202672.56972603442,671592.6628263434
2021-08-30,881192.5471577807,202672.56972603442,678519.9774317463
2021-08-31,899105.3527092483,202672.56972603442,696432.7829832139
2021-09-01,896020.9873100811,202672.56972603442,693348.4175840467
2021-09-02,915025.813515949,202672.56972603442,712353.2437899145
2021-09-03,908347.834288518,202672.56972603442,705675.2645624835
2021-09-06,915516.8386837689,202672.56972603442,712844.2689577345
2021-09-07,935617.8052411096,202672.56972603442,732945.2355150752
2021-09-08,944763.2693988585,202672.56972603442,742090.6996728241
2021-09-09,969659.8407576237,202672.56972603442,766987.2710315892
2021-09-10,953655.278481563,202672.56972603442,750982.7087555286
2021-09-13,971708.0428982638,202672.56972603442,769035.4731722294
2021-09-14,955545.2984956932,202672.56972603442,752872.7287696588
2021-09-15,951037.2570128589,202672.56972603442,748364.6872868245
2021-09-16,948940.2492584477,202672.56972603442,746267.6795324133
2021-09-17,926227.7192084831,202672.56972603442,723555.1494824487
2021-09-22,941893.7342260189,223659.68249090906,718234.0517351098
2021-09-23,939105.4493863333,223659.68249090906,715445.7668954243
2021-09-24,912511.8608891745,223659.68249090906,688852.1783982654
2021-09-27,893830.9719659253,223659.68249090906,670171.2894750163
2021-09-28,911358.0243627266,223659.68249090906,687698.3418718175
2021-09-29,892002.6213017257,223659.68249090906,668342.9388108166
2021-09-30,896838.8992538617,223659.68249090906,673179.2167629526
2021-10-08,892869.1623106633,219746.39881640623,673122.763494257
2021-10-11,901324.7601627753,219746.39881640623,681578.361346369
2021-10-12,891807.653826948,219746.39881640623,672061.2550105418
2021-10-13,883924.3735251274,219746.39881640623,664177.9747087212
