trade_date,etf_code,etf_name,theme,style,side,price,shares,value,fee
2021-11-01,515790.SH,光伏ETF,光伏,growth,SELL,1.864,148291.0135825991,276414.4493179647,82.92433479538941
2021-11-01,512800.SH,银行ETF,银行,stable_value,BUY,1.187,512268.98189367465,608063.2815077918,182.41898445233753
2021-11-15,512800.SH,银行ETF,银行,stable_value,SELL,1.166,512268.98189367465,597305.6328880246,179.19168986640736
2021-11-15,515030.SH,新能源车ETF,新能源车,growth,BUY,2.539,16886.694832907822,42875.31818075296,12.862595454225888
2021-11-15,159928.SZ,消费ETF,消费,stable_value,BUY,1.168,513916.48504327174,600254.4545305413,180.07633635916238
2021-11-29,515030.SH,新能源车ETF,新能源车,growth,SELL,2.688,16886.694832907822,45391.43571085623,13.61743071325687
2021-11-29,159928.SZ,消费ETF,消费,stable_value,SELL,1.182,24856.97549904989,29380.94503987697,8.81428351196309
2021-12-13,512660.SH,军工ETF,军工,growth,BUY,1.427,202470.2416992866,288925.03490488196,86.67751047146459
2021-12-13,159928.SZ,消费ETF,消费,stable_value,SELL,1.241,236378.52129299205,293345.74492460315,88.00372347738093
2021-12-27,512660.SH,军工ETF,军工,growth,SELL,1.383,170416.78772554034,235686.4174244223,70.70592522732669
2021-12-27,159928.SZ,消费ETF,消费,stable_value,BUY,1.24,247743.8403572798,307202.36204302695,92.16070861290808
2022-01-10,159928.SZ,消费ETF,消费,stable_value,SELL,1.185,500424.8286085096,593003.4219010839,177.90102657032514
2022-01-10,512660.SH,军工ETF,军工,growth,SELL,1.323,32053.453973746247,42406.719607266285,12.722015882179884
2022-01-10,512200.SH,地产ETF,地产,cyclical_value,BUY,0.847,50574.49827265922,42836.60003694236,12.850980011082706
2022-01-10,512800.SH,银行ETF,银行,stable_value,BUY,1.17,512574.701296746,599712.4005171928,179.91372015515782
2022-01-24,512200.SH,地产ETF,地产,cyclical_value,SELL,0.837,50574.49827265922,42330.85505421577,12.699256516264729
2022-01-24,159819.SZ,人工智能ETF,人工智能,growth,BUY,1.014,42934.08982697356,43535.16708455119,13.060550125365356
2022-02-14,159819.SZ,人工智能ETF,人工智能,growth,SELL,0.918,42934.08982697356,39413.49446116173,11.824048338348518
2022-02-14,512800.SH,银行ETF,银行,stable_value,SELL,1.201,187404.79569823673,225073.15963358234,67.5219478900747
2022-03-14,512800.SH,银行ETF,银行,stable_value,SELL,1.097,325169.90559850924,356711.38644156465,107.01341593246939
2022-03-28,510880.SH,红利ETF,红利,stable_value,BUY,2.947,127286.96136183747,375114.67513333505,112.53440254000051
2022-05-09,510880.SH,红利ETF,红利,stable_value,SELL,2.784,127286.96136183747,354366.9004313555,106.31007012940664
2022-06-06,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,2.47,16449.956230244334,40631.3918887035,12.18941756661105
2022-06-06,159928.SZ,消费ETF,消费,stable_value,BUY,1.023,556050.328877663,568839.4864418491,170.65184593255472
2022-06-20,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,2.359,19614.464428393436,46270.521586580115,13.881156475974032
2022-06-20,515030.SH,新能源车ETF,新能源车,growth,BUY,2.303,68122.66473020554,156886.49687366333,47.065949062098994
2022-06-20,159928.SZ,消费ETF,消费,stable_value,SELL,1.095,128658.36987593237,140880.91501414595,42.26427450424378
2022-07-04,159928.SZ,消费ETF,消费,stable_value,SELL,1.163,427391.95900173066,497056.8483190128,149.11705449570383
2022-07-04,515220.SH,煤炭ETF,煤炭,cyclical_value,BUY,2.479,17933.6268824044,44457.46104148051,13.337238312444152
2022-07-04,515030.SH,新能源车ETF,新能源车,growth,BUY,2.425,115862.49886591415,280966.5597498418,84.28996792495253
2022-07-04,510880.SH,红利ETF,红利,stable_value,BUY,2.975,104918.01032140563,312131.08070618176,93.63932421185451
2022-07-18,515220.SH,煤炭ETF,煤炭,cyclical_value,SELL,2.448,53998.047541042164,132187.2203804712,39.65616611414136
2022-07-18,510880.SH,红利ETF,红利,stable_value,SELL,2.917,104918.01032140563,306045.8361075402,91.81375083226204
2022-07-18,512400.SH,有色金属ETF,有色,cyclical_value,BUY,1.269,68642.45543306513,87107.27594455965,26.13218278336789
