ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,volume,amount,ma20,ma60,ma120,ret_20,ret_60,ret_120,daily_ret,vol_20,max_drawdown_60,premium_20,avg_amount_20,avg_volume_20,trend_pass,etf_code,etf_name,theme,technical_score,fundamental_score,valuation_percentile,valuation_filter_pass,liquidity_pass,trend_filter_pass,final_score,market_filter_pass,market_exposure,intraday_filter_pass,selected,target_weight,signal_date,execution_date
515220.SH,2021-06-11,1.666,1.679,1.698,1.668,1.678,0.012,0.7203,745170.0,125471379.0,1.57295,1.4808166666666667,,0.07633098139833216,0.1816901408450704,,0.007202881152460927,0.31631322475663,-0.018713450292397682,0.06678533964843125,138640239.0,885204.493,True,515220.SH,煤炭ETF,煤炭,-0.016687031013584624,0.5,,True,True,True,0.13831907829049075,True,1.0,True,False,0.0,2021-06-11,2021-06-15
510880.SH,2021-06-11,2.853,2.862,2.87,2.852,2.857,0.004,0.1402,643792.17,184155299.0,2.8155,2.784666666666667,,0.014199503017394477,0.03815406976744207,,0.00140203294777419,0.09372510697336492,-0.0045296167247386165,0.014739833066950814,251551100.3,896235.8244999999,True,510880.SH,红利ETF,红利,-0.08621308581518905,0.55,,True,True,True,0.10465083992936768,True,1.0,True,False,0.0,2021-06-11,2021-06-15
512400.SH,2021-06-11,1.159,1.156,1.169,1.137,1.163,0.004,0.3451,3366008.0,389493079.0,1.1607,1.0990666666666664,,0.043049327354260036,0.048692515779982015,,0.003451251078516071,0.22630244129397253,-0.044371405094494665,0.0019815628500041704,349425718.95,3016496.642,True,512400.SH,有色金属ETF,有色,-0.07496964467748521,0.5,,True,True,True,0.09752124872576035,True,1.0,True,False,0.0,2021-06-11,2021-06-15
512000.SH,2021-06-11,1.066,1.067,1.071,1.047,1.048,-0.018,-1.6886,7705143.46,816039240.0,1.0566499999999999,1.0121499999999999,,0.014520813165537438,0.05965621840242674,,-0.016885553470919357,0.23479682593980084,-0.042047531992687404,-0.008186248994463519,1008190076.7,9516377.224,True,512000.SH,券商ETF,证券,-0.14098804236240353,0.5,,True,True,True,0.05130837034631752,True,1.0,True,False,0.0,2021-06-11,2021-06-15
512200.SH,2021-06-11,0.829,0.828,0.83,0.821,0.823,-0.006,-0.7238,603531.0,49774576.0,0.8416500000000001,0.8408499999999999,,-0.013189448441247031,-0.024881516587677788,,-0.007237635705669487,0.11510427478875723,-0.0507497116493657,-0.02215885463078493,52692869.75,624871.0025000001,False,512200.SH,地产ETF,地产,-0.19795223274771978,0.45,,True,True,False,-0.003566562923403821,True,1.0,True,False,0.0,2021-06-11,2021-06-15
512800.SH,2021-06-11,1.268,1.27,1.272,1.244,1.249,-0.019,-1.4984,2839753.05,356099916.0,1.27085,1.2511166666666669,,-0.012648221343873334,-0.022691705790297223,,-0.014984227129337446,0.17193362693248024,-0.03775038520801233,-0.01719321713813582,300012225.1,2361434.4695,False,512800.SH,银行ETF,银行,-0.30823297451159626,0.55,,True,True,False,-0.05076308215811737,True,1.0,True,False,0.0,2021-06-11,2021-06-15
515210.SH,2021-06-11,1.582,1.592,1.609,1.578,1.599,0.017,1.0746,900299.0,143449051.0,1.5698,1.5563166666666666,,-0.022018348623853212,0.045098039215686336,,0.01074589127686476,0.2781667554061522,-0.10269360269360273,0.01860109568097834,143312873.7,915053.325,True,515210.SH,钢铁ETF,钢铁,-0.389086352338296,0.5,,True,True,True,-0.1223604466368072,True,1.0,True,False,0.0,2021-06-11,2021-06-15
512480.SH,2021-06-11,1.14,1.14,1.142,1.114,1.116,-0.024,-2.1053,3458153.19,388147479.0,1.0516999999999999,1.1087,,0.1353001017294,-0.38376587520706784,,-0.021052631578947212,0.27224377757205737,-0.369135104578858,0.06113910811067824,331394893.9,3123332.103,False,512480.SH,半导体ETF,半导体,-0.5888533828704559,0.5,,True,True,False,-0.26219736800931903,True,1.0,True,False,0.0,2021-06-11,2021-06-15
159995.SZ,2021-06-18,1.417,1.426,1.444,1.4,1.43,0.013,0.9174,10873727.36,1552421314.0,1.301,1.2140333333333333,,0.19365609348914847,0.2917795844625113,,0.00917431192660545,0.40166934130947585,0.0,0.09915449654112218,891374752.5,6787361.4765,True,159995.SZ,芯片ETF,芯片,0.5329084348051256,0.5,,True,True,True,0.5230359043635879,True,1.0,True,True,1.0,2021-06-18,2021-06-21
515030.SH,2021-06-18,1.849,1.858,1.949,1.858,1.932,0.083,4.4889,2803582.69,536097463.0,1.83595,1.6384,,0.12325581395348828,0.32238193018480477,,0.04488912925905897,0.4263520585551183,-0.0010341261633919352,0.052316239549007326,417243890.65,2266145.358,True,515030.SH,新能源车ETF,新能源车,0.4650331555638288,0.5,,True,True,True,0.47552320889468014,True,1.0,True,False,0.0,2021-06-18,2021-06-21
515220.SH,2021-06-18,1.673,1.672,1.673,1.62,1.636,-0.037,-2.2116,847313.44,139089339.0,1.5985999999999998,1.4996,,0.11141304347826075,0.20382634289919044,,-0.022115959354453207,0.27815683067329805,-0.04327485380116958,0.023395471037157556,136121980.35,853440.0625,True,515220.SH,煤炭ETF,煤炭,0.41450084723341113,0.5,,True,True,True,0.4401505930633878,True,1.0,True,False,0.0,2021-06-18,2021-06-21
159819.SZ,2021-06-18,0.979,0.979,0.99,0.976,0.982,0.003,0.3064,760161.98,74771120.0,0.9464500000000001,0.9095666666666666,,0.0959821428571428,0.15123094958968353,,0.003064351378958108,0.2340539051608232,0.0,0.037561413703840474,63840936.05,673374.3095,True,159819.SZ,人工智能ETF,人工智能,0.20401024840744875,0.5,,True,True,True,0.2928071738852141,True,1.0,True,False,0.0,2021-06-18,2021-06-21
