trade_date,etf_code,shares,close,weight
2021-12-03,CASH,0.0,1.0,1.0
2021-12-06,CASH,0.0,1.0,1.0
2021-12-07,CASH,0.0,1.0,1.0
2021-12-08,CASH,0.0,1.0,1.0
2021-12-09,CASH,0.0,1.0,1.0
2021-12-10,CASH,0.0,1.0,1.0
2021-12-13,159928.SZ,921602.7761160849,1.241,0.9999999099730003
2021-12-14,159928.SZ,921602.7761160849,1.246,0.9999999103342643
2021-12-15,159928.SZ,921602.7761160849,1.222,0.9999999085732352
2021-12-16,159928.SZ,921602.7761160849,1.215,0.9999999080464967
2021-12-17,159928.SZ,921602.7761160849,1.191,0.9999999061935295
2021-12-20,512660.SH,801058.7556917312,1.374,0.999999909973
2021-12-21,512660.SH,801058.7556917312,1.38,0.9999999103644217
2021-12-22,512660.SH,801058.7556917312,1.379,0.9999999102994214
2021-12-23,512660.SH,801058.7556917312,1.388,0.9999999108810532
2021-12-24,512660.SH,801058.7556917312,1.388,0.9999999108810532
2021-12-27,CASH,0.0,1.0,1.0
2021-12-28,CASH,0.0,1.0,1.0
2021-12-29,CASH,0.0,1.0,1.0
2021-12-30,CASH,0.0,1.0,1.0
2021-12-31,CASH,0.0,1.0,1.0
2022-01-04,512660.SH,767290.1866478865,1.443,0.9999999099729998
2022-01-05,512660.SH,767290.1866478865,1.369,0.999999905106676
2022-01-06,512660.SH,767290.1866478865,1.353,0.9999999039845082
2022-01-07,512660.SH,767290.1866478865,1.336,0.9999999027627543
2022-01-10,CASH,0.0,1.0,1.0
2022-01-11,CASH,0.0,1.0,1.0
2022-01-12,CASH,0.0,1.0,1.0
2022-01-13,CASH,0.0,1.0,1.0
2022-01-14,CASH,0.0,1.0,1.0
2022-01-17,CASH,0.0,1.0,1.0
2022-01-18,CASH,0.0,1.0,1.0
2022-01-19,CASH,0.0,1.0,1.0
2022-01-20,CASH,0.0,1.0,1.0
2022-01-21,CASH,0.0,1.0,1.0
2022-01-24,CASH,0.0,1.0,1.0
2022-01-25,CASH,0.0,1.0,1.0
2022-01-26,CASH,0.0,1.0,1.0
2022-01-27,CASH,0.0,1.0,1.0
2022-01-28,CASH,0.0,1.0,1.0
2022-02-07,CASH,0.0,1.0,1.0
2022-02-08,CASH,0.0,1.0,1.0
2022-02-09,CASH,0.0,1.0,1.0
2022-02-10,CASH,0.0,1.0,1.0
2022-02-11,CASH,0.0,1.0,1.0
2022-02-14,CASH,0.0,1.0,1.0
2022-02-15,CASH,0.0,1.0,1.0
2022-02-16,CASH,0.0,1.0,1.0
2022-02-17,CASH,0.0,1.0,1.0
2022-02-18,CASH,0.0,1.0,1.0
2022-02-21,CASH,0.0,1.0,1.0
2022-02-22,CASH,0.0,1.0,1.0
2022-02-23,CASH,0.0,1.0,1.0
2022-02-24,CASH,0.0,1.0,1.0
2022-02-25,CASH,0.0,1.0,1.0
2022-02-28,CASH,0.0,1.0,1.0
2022-03-01,CASH,0.0,1.0,1.0
2022-03-02,CASH,0.0,1.0,1.0
2022-03-03,CASH,0.0,1.0,1.0
2022-03-04,CASH,0.0,1.0,1.0
2022-03-07,CASH,0.0,1.0,1.0
2022-03-08,CASH,0.0,1.0,1.0
2022-03-09,CASH,0.0,1.0,1.0
2022-03-10,CASH,0.0,1.0,1.0
2022-03-11,CASH,0.0,1.0,1.0
2022-03-14,CASH,0.0,1.0,1.0
2022-03-15,CASH,0.0,1.0,1.0
2022-03-16,CASH,0.0,1.0,1.0
2022-03-17,CASH,0.0,1.0,1.0
2022-03-18,CASH,0.0,1.0,1.0
2022-03-21,CASH,0.0,1.0,1.0
2022-03-22,CASH,0.0,1.0,1.0
2022-03-23,CASH,0.0,1.0,1.0
2022-03-24,CASH,0.0,1.0,1.0
2022-03-25,CASH,0.0,1.0,1.0
2022-03-28,CASH,0.0,1.0,1.0
2022-03-29,CASH,0.0,1.0,1.0
2022-03-30,CASH,0.0,1.0,1.0
2022-03-31,CASH,0.0,1.0,1.0
2022-04-01,CASH,0.0,1.0,1.0
2022-04-06,CASH,0.0,1.0,1.0
2022-04-07,CASH,0.0,1.0,1.0
2022-04-08,CASH,0.0,1.0,1.0
2022-04-11,CASH,0.0,1.0,1.0
2022-04-12,CASH,0.0,1.0,1.0
2022-04-13,CASH,0.0,1.0,1.0
2022-04-14,CASH,0.0,1.0,1.0
2022-04-15,CASH,0.0,1.0,1.0
2022-04-18,CASH,0.0,1.0,1.0
2022-04-19,CASH,0.0,1.0,1.0
2022-04-20,CASH,0.0,1.0,1.0
2022-04-21,CASH,0.0,1.0,1.0
2022-04-22,CASH,0.0,1.0,1.0
2022-04-25,CASH,0.0,1.0,1.0
2022-04-26,CASH,0.0,1.0,1.0
2022-04-27,CASH,0.0,1.0,1.0
2022-04-28,CASH,0.0,1.0,1.0
2022-04-29,CASH,0.0,1.0,1.0
2022-05-05,CASH,0.0,1.0,1.0
2022-05-06,CASH,0.0,1.0,1.0
2022-05-09,CASH,0.0,1.0,1.0
