index_code,con_code,in_date,out_date,is_new
801180.SI,600724.SH,20240731,,Y
801180.SI,600732.SH,20050701,20160331,N
801180.SI,600732.SH,20170608,20201218,N
801180.SI,600733.SH,20160701,20180713,N
801180.SI,600734.SH,20090623,20170630,N
801180.SI,600736.SH,19960815,,Y
801180.SI,600743.SH,20070703,,Y
801180.SI,600745.SH,20100602,20150520,N
801180.SI,600745.SH,20150522,20170630,N
801180.SI,600748.SH,20030512,,Y
801180.SI,600753.SH,20070703,20160630,N
801180.SI,600759.SH,19961008,20070702,N
801180.SI,600759.SH,20111010,20150630,N
801180.SI,600766.SH,20070703,20130628,N
801180.SI,600767.SH,20031008,20160630,N
801180.SI,600773.SH,20100602,,Y
801180.SI,600777.SH,20100602,20170630,N
801180.SI,600790.SH,19970228,20070702,N
801180.SI,600791.SH,20020508,,Y
801180.SI,600794.SH,20020508,20070702,N
801180.SI,600807.SH,20070703,20220729,N
801180.SI,600823.SH,20020508,20240613,N
801180.SI,600840.SH,20030512,20090827,N
801180.SI,600846.SH,20211213,20230705,N
801180.SI,600848.SH,20160701,,Y
801180.SI,600854.SH,20230706,,Y
801180.SI,600872.SH,19950124,20110930,N
801180.SI,600881.SH,19951115,20061009,N
801180.SI,600890.SH,20030512,20220524,N
801180.SI,600895.SH,19960422,,Y
801180.SI,601155.SH,20151225,,Y
801180.SI,601512.SH,20191227,,Y
801180.SI,601588.SH,20061024,,Y
801180.SI,603506.SH,20180208,,Y
