trade_date,etf_code,theme,style,dividend_yield_abs,weighted_pb,weighted_pe_ttm,constituent_count,fundamental_source,manual_score,pb_percentile,pe_percentile,valuation_percentile,valuation_score,risk_free_10y,dividend_spread,dividend_yield_percentile,dividend_spread_percentile,growth_fundamental_score,roe_score,fundamental_score,valuation_filter_pass
2021-03-05,512000.SH,证券,cyclical_value,0.0110275784647253,2.706082550587463,23.492164453125437,47.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.021550421535274703,0.5625,0.5625,0.5,,0.521875,True
2021-03-05,515030.SH,新能源车,growth,0.0405464610479739,1.369273766512772,11.303129977937058,38.0,constituent_weighted,0.5,,,,0.5,0.032578,0.007968461047973899,0.8125,0.8125,0.5,,0.609375,True
2021-03-05,512200.SH,地产,cyclical_value,0.0383324209665174,1.4668662917641218,8.092944033794506,128.0,constituent_weighted,0.45,,,,0.45,0.032578,0.005754420966517397,0.75,0.75,0.45,,0.555,True
2021-03-05,159995.SZ,芯片,growth,0.0012264438715772,13.490960470062053,97.13029688340546,69.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.0313515561284228,0.0625,0.0625,0.5,,0.34687500000000004,True
2021-03-05,159928.SZ,消费,stable_value,0.0074965622770635,20.13337163678136,64.45236832502071,110.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.025081437722936504,0.5,0.5,0.5,,0.5,True
2021-03-05,512400.SH,有色,cyclical_value,0.0047112556794864,5.352090520411623,59.12778955672128,121.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.027866744320513604,0.375,0.375,0.5,,0.45625,True
2021-03-05,515220.SH,煤炭,cyclical_value,0.0420977298531367,1.311689169574332,11.026776951852892,35.0,constituent_weighted,0.5,,,,0.5,0.032578,0.009519729853136698,0.9375,0.9375,0.5,,0.653125,True
2021-03-05,515790.SH,光伏,growth,0.0043054784117331,9.165551590710937,49.75722707451374,211.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.028272521588266902,0.3125,0.3125,0.5,,0.434375,True
2021-03-05,561560.SH,电力,stable_value,0.0241336198622256,1.9198061718494264,16.27656236393336,176.0,constituent_weighted,0.5,,,,0.5,0.032578,-0.008444380137774404,0.6875,0.6875,0.5,,0.565625,True
2021-03-19,510880.SH,红利,stable_value,0.055,,,0.0,manual_fallback,0.55,,,,0.55,0.032364000000000004,0.022635999999999996,1.0,1.0,0.55,,0.7075,True
2021-03-19,512800.SH,银行,stable_value,0.0427246814733388,0.944186780159004,7.023812393481407,38.0,constituent_weighted,0.55,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.032364000000000004,0.010360681473338795,0.9375,0.9375,0.55,,0.5989583333333334,True
2021-03-19,512400.SH,有色,cyclical_value,0.0054119316408374,4.330054242311228,52.34456476016264,124.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.026952068359162605,0.375,0.375,0.5,,0.5895833333333333,True
2021-03-19,512480.SH,半导体,growth,0.0018540929817241,11.817847370412752,74.75868438373803,46.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.030509907018275904,0.125,0.125,0.5,,0.5020833333333334,True
2021-03-19,159928.SZ,消费,stable_value,0.0094097968062724,15.392652557450011,50.64426522177972,111.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.022954203193727603,0.5,0.5,0.5,,0.6333333333333333,True
2021-03-19,512000.SH,证券,cyclical_value,0.0121818835284985,2.114855415581809,21.00714226264405,47.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.020182116471501504,0.5625,0.5625,0.5,,0.6552083333333334,True
2021-03-19,512010.SH,医药,growth,0.0066324508265358,10.372262738789846,40.49472365454258,318.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.025731549173464204,0.4375,0.4375,0.5,,0.6114583333333333,True
2021-03-19,512660.SH,军工,growth,0.003015380084599,4.694720276063153,58.08147278834974,75.0,constituent_weighted,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.032364000000000004,-0.029348619915401004,0.1875,0.1875,0.5,,0.5239583333333333,True
