trade_date,etf_code,theme,style,dividend_yield_abs,weighted_pb,weighted_pe_ttm,constituent_count,source
2022-02-25,159819.SZ,人工智能,growth,0.006288864189653714,6.057925132109391,45.73726962209256,245,constituent_weighted
2022-02-25,512660.SH,军工,growth,0.003238401277003353,5.394281384851494,63.03699672350583,98,constituent_weighted
2022-02-25,515030.SH,新能源车,growth,0.04145043902764166,1.747816283470874,9.574718850960547,37,constituent_weighted
2022-02-25,515790.SH,光伏,growth,0.0038771440603060626,9.450519300384332,47.82778366308029,242,constituent_weighted
2022-02-25,512400.SH,有色,cyclical_value,0.00526094225224031,5.812614701592695,30.367531629921505,122,constituent_weighted
2022-02-25,515220.SH,煤炭,cyclical_value,0.04134842252463102,1.7290834433750109,9.594920026699247,36,constituent_weighted
2022-02-25,515210.SH,钢铁,cyclical_value,0.03962316906366811,2.1583740586574858,8.063286473051912,43,constituent_weighted
2022-02-25,561560.SH,电力,stable_value,0.02289898407351522,2.3364444343542647,24.048028197375324,121,constituent_weighted
2022-03-25,512000.SH,证券,cyclical_value,0.017127483440530254,1.8339780929584906,15.346816813726342,48,constituent_weighted
2022-03-25,512800.SH,银行,stable_value,0.04828153148792421,0.7711088888577883,5.2903692714737005,42,constituent_weighted
2022-03-25,512200.SH,地产,cyclical_value,0.03708396709770076,1.4278316649014662,8.995854273303577,126,constituent_weighted
2022-03-25,159928.SZ,消费,stable_value,0.012447014537116259,10.40803088767714,36.367567357848664,116,constituent_weighted
2022-03-25,512010.SH,医药,growth,0.008278411489715457,7.464818283471365,30.40642535294486,342,constituent_weighted
2022-03-25,512480.SH,半导体,growth,0.00222633158852184,10.850687757535614,49.5593354885912,47,constituent_weighted
2022-03-25,159995.SZ,芯片,growth,0.0017389861517575036,9.859598437061601,51.9651827331958,91,constituent_weighted
2022-03-25,159819.SZ,人工智能,growth,0.007105975330984027,5.208111956942377,41.100254726055084,247,constituent_weighted
2022-03-25,512660.SH,军工,growth,0.003516391753520762,4.961781418890461,57.241108858372016,99,constituent_weighted
2022-03-25,515030.SH,新能源车,growth,0.037486280447742895,1.879580086202274,10.02796394876751,37,constituent_weighted
2022-03-25,515790.SH,光伏,growth,0.004143112216010262,8.913426754895879,42.93728411916821,244,constituent_weighted
2022-03-25,512400.SH,有色,cyclical_value,0.005558770367289667,4.999354391626389,26.288043958832578,124,constituent_weighted
2022-03-25,515220.SH,煤炭,cyclical_value,0.03740395906495365,1.864401793287377,10.041700882305433,36,constituent_weighted
2022-03-25,515210.SH,钢铁,cyclical_value,0.0441444779671564,1.854664248856236,7.489771473972676,43,constituent_weighted
2022-03-25,561560.SH,电力,stable_value,0.024775919375476345,2.1648952465291496,22.12841975552926,121,constituent_weighted
2022-04-22,512000.SH,证券,cyclical_value,0.017475669568122104,1.834215455870636,14.910955708590713,47,constituent_weighted
2022-04-22,512800.SH,银行,stable_value,0.04660855070826077,0.7681474177991608,5.402675407242497,42,constituent_weighted
2022-04-22,512200.SH,地产,cyclical_value,0.03791125054286804,1.3653566975917963,10.479838184850724,126,constituent_weighted
2022-04-22,159928.SZ,消费,stable_value,0.012027498280393045,10.421495493847873,37.35019751152317,116,constituent_weighted
2022-04-22,512010.SH,医药,growth,0.009064328399911658,6.649006965811774,26.934784194564827,345,constituent_weighted
2022-04-22,512480.SH,半导体,growth,0.0026726501714088783,8.755148920658025,37.97811087110716,47,constituent_weighted
2022-04-22,159995.SZ,芯片,growth,0.002097344453623268,7.855322450770495,41.10317705908626,98,constituent_weighted
2022-04-22,159819.SZ,人工智能,growth,0.008129637979873223,4.4246377434061,37.30330197915035,246,constituent_weighted
2022-04-22,512660.SH,军工,growth,0.004044082116573136,4.037928873382091,50.58867620100537,99,constituent_weighted
2022-04-22,515030.SH,新能源车,growth,0.03576844642090855,1.8254964749589044,9.854637052792807,36,constituent_weighted
2022-04-22,515790.SH,光伏,growth,0.005094525065747002,6.496548039509634,32.574889826616975,243,constituent_weighted
2022-04-22,512400.SH,有色,cyclical_value,0.006198966185196893,4.274856575783268,21.423843953045466,125,constituent_weighted
2022-04-22,515220.SH,煤炭,cyclical_value,0.03566295200122125,1.8115544016952432,9.846784275153505,35,constituent_weighted
2022-04-22,515210.SH,钢铁,cyclical_value,0.045001525594428424,1.6018918483255566,7.880520229692163,43,constituent_weighted
2022-04-22,561560.SH,电力,stable_value,0.024237558907273908,2.2125386916798844,23.34937285096782,120,constituent_weighted
2022-05-20,512000.SH,证券,cyclical_value,0.01782174348692872,1.803869285508118,15.917111345967625,48,constituent_weighted
2022-05-20,512800.SH,银行,stable_value,0.04851474286342963,0.69442566793624,5.028938763302266,42,constituent_weighted
